year,iso3_code,country,region,total_members,n_dois,dois_per_member
2020,VNM,Vietnam,East Asia & Pacific,40,22272,556.8
2020,WSM,Samoa,East Asia & Pacific,1,11,11
2020,ALB,Albania,Europe & Central Asia,5,526,105.2
2020,ARM,Armenia,Europe & Central Asia,6,13047,2174.5
2020,AUT,Austria,Europe & Central Asia,46,160096,3480.3478260869565
2020,AZE,Azerbaijan,Europe & Central Asia,14,4829,344.92857142857144
2020,BEL,Belgium,Europe & Central Asia,36,208594,5794.277777777777
2020,BGR,Bulgaria,Europe & Central Asia,40,148151,3703.775
2020,BIH,Bosnia and Herzegovina,Europe & Central Asia,28,11264,402.2857142857143
2020,BLR,Belarus,Europe & Central Asia,16,4552,284.5
2020,CHE,Switzerland,Europe & Central Asia,85,2236160,26307.764705882353
2020,CYP,Cyprus,Europe & Central Asia,8,16306,2038.25
2020,CZE,Czech Republic,Europe & Central Asia,87,130217,1496.7471264367816
2020,DEU,Germany,Europe & Central Asia,150,4047662,26984.413333333334
2020,DNK,Denmark,Europe & Central Asia,14,64869,4633.5
2020,ESP,Spain,Europe & Central Asia,318,388796,1222.6289308176101
2020,EST,Estonia,Europe & Central Asia,13,15081,1160.076923076923
2020,FIN,Finland,Europe & Central Asia,86,36288,421.95348837209303
2020,FRA,France,Europe & Central Asia,69,2103818,30490.115942028984
2020,FRO,Faeroe Islands,Europe & Central Asia,1,96,96
2020,GBR,United Kingdom,Europe & Central Asia,444,19125391,43075.204954954956
2020,GEO,Georgia,Europe & Central Asia,12,1820,151.66666666666666
2020,GRC,Greece,Europe & Central Asia,28,120462,4302.214285714285
2020,HRV,Croatia,Europe & Central Asia,156,112021,718.0833333333334
2020,HUN,Hungary,Europe & Central Asia,202,103840,514.059405940594
2020,IRL,Ireland,Europe & Central Asia,16,5008,313
2020,ISL,Iceland,Europe & Central Asia,8,2179,272.375
